group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
88:165350,88,68,11,165350,hotpotqa,8,5,False,False,True,0.625,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1177.25,3.0,False,113784,False,GAP_displaced
88:120083,88,68,11,120083,hotpotqa,8,3,False,False,True,0.375,0.0,1.0,1.0,1.625,1.0,2.625,2.0,1468.625,2.625,False,113824,False,GAP_displaced
90:13125,90,69,1,13125,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,1.75,1.75,1197.75,2.75,True,115976,True,E1_added
91:59234,91,69,2,59234,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.625,2.625,1518.0,2.625,True,116952,True,E1_added
92:23153,92,69,3,23153,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1073.0,2.5,True,118616,True,E1_added
92:123820,92,69,3,123820,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1579.75,2.375,True,118656,True,E1_added
98:139647,98,69,9,139647,hotpotqa,8,6,False,False,True,0.75,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1333.0,2.0,False,126272,False,GAP_displaced
98:147744,98,69,9,147744,hotpotqa,8,1,False,False,True,0.125,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1388.5,3.0,False,126712,False,GAP_displaced
105:9162,105,70,6,9162,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1193.375,2.625,True,134936,True,E1_added
105:135742,105,70,6,135742,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.625,2.625,2.625,2.625,1603.625,3.625,True,135616,True,E1_added
106:152719,106,70,7,152719,hotpotqa,8,8,False,True,False,1.0,1.0,3.0,4.0,3.75,3.75,3.75,3.75,2368.0,4.75,True,136360,True,E1_added
106:96105,106,70,7,96105,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,1.25,1.25,990.75,2.25,True,136736,True,E1_added
107:147709,107,70,8,147709,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,2.5,2.5,1709.0,2.5,True,138200,True,E1_added
108:93945,108,70,9,93945,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.125,2.125,3.125,3.125,1859.25,3.125,True,138392,True,E1_added
108:67875,108,70,9,67875,nq,8,6,False,False,True,0.75,0.0,1.0,1.0,1.0,1.0,2.125,2.0,1287.25,2.0,False,138936,False,GAP_displaced
108:54264,108,70,9,54264,nq,8,1,False,False,True,0.125,0.0,2.0,2.0,2.0,2.0,3.0,3.0,1851.375,3.0,False,139192,False,GAP_displaced
