group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
62:118312,62,77,8,118312,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1313.625,2.125,True,79680,True,E1_added
64:55606,64,78,0,55606,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1355.5,2.125,True,82232,True,E1_added
66:153580,66,78,2,153580,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1637.125,2.875,True,85008,True,E1_added
71:103486,71,78,7,103486,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1085.25,2.625,True,91672,True,E1_added
74:93361,74,78,10,93361,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,2.0,2.0,1268.75,2.25,True,95272,True,E1_added
76:150523,76,78,12,150523,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,2.375,2.375,1584.625,3.375,True,97904,True,E1_added
77:128624,77,78,13,128624,hotpotqa,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1366.5,2.0,False,98992,False,GAP_displaced
77:128055,77,78,13,128055,hotpotqa,8,4,False,False,True,0.5,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1234.0,2.0,False,99296,False,GAP_displaced
79:141359,79,79,1,141359,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1066.75,2.5,True,101976,True,E1_added
81:44194,81,79,3,44194,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1287.75,2.875,True,104832,True,E1_added
85:29993,85,79,7,29993,nq,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,2.375,2.375,1474.625,3.375,True,109272,True,E1_added
86:5554,86,79,8,5554,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,1.375,1.375,922.375,2.375,True,110600,True,E1_added
86:73572,86,79,8,73572,nq,8,1,False,False,True,0.125,0.0,4.0,4.0,1.625,4.0,2.625,5.0,1744.375,2.625,False,110688,False,GAP_displaced
86:16779,86,79,8,16779,nq,8,7,False,False,True,0.875,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1174.5,3.0,False,110792,False,GAP_displaced
86:158505,86,79,8,158505,hotpotqa,8,5,False,False,True,0.625,0.0,2.0,2.0,2.0,2.0,3.0,3.0,1914.75,3.0,False,111128,False,GAP_displaced
90:152428,90,80,3,152428,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.25,2.25,3.25,3.25,1901.75,3.25,True,116072,True,E1_added
90:90167,90,80,3,90167,hotpotqa,8,8,False,True,False,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1885.5,3.0,True,116248,True,E1_added
91:151625,91,80,4,151625,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,1.375,1.375,932.125,2.375,True,117536,True,E1_added
93:114726,93,80,6,114726,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.875,2.875,2.875,2.875,1993.375,3.875,True,119312,True,E1_added
93:11795,93,80,6,11795,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,829.875,2.125,True,119480,True,E1_added
93:70097,93,80,6,70097,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1032.0,2.625,True,119656,True,E1_added
95:99630,95,80,8,99630,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.5,2.5,2.5,2.5,1603.0,3.5,True,122208,True,E1_added
95:136129,95,80,8,136129,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.0,2.0,1360.125,2.625,True,122440,True,E1_added
96:145288,96,80,9,145288,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1651.25,2.375,True,123456,True,E1_added
97:155810,97,80,10,155810,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.25,2.25,2.25,2.25,1682.75,3.25,True,125256,True,E1_added
99:147163,99,80,12,147163,hotpotqa,8,6,False,False,True,0.75,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1320.0,2.0,False,127544,False,GAP_displaced
99:14669,99,80,12,14669,nq,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1382.125,2.0,False,127952,False,GAP_displaced
100:24573,100,81,0,24573,nq,8,8,False,True,False,1.0,2.0,2.0,4.0,3.75,3.75,3.75,3.75,1986.125,4.75,True,128432,True,E1_added
101:143226,101,81,1,143226,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1461.125,2.125,True,129872,True,E1_added
102:142188,102,81,2,142188,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.0,2.0,1310.0,2.375,True,130960,True,E1_added
104:17568,104,81,4,17568,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1531.625,2.375,True,133960,True,E1_added
106:161108,106,81,6,161108,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.125,2.125,2.125,2.125,1374.25,3.125,True,136656,True,E1_added
107:29328,107,82,0,29328,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,1.25,1.25,858.25,2.25,True,137368,True,E1_added
108:151819,108,82,1,151819,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1821.0,2.75,True,138512,True,E1_added
111:124181,111,82,4,124181,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1041.875,2.625,True,143064,True,E1_added
114:39663,114,82,7,39663,nq,8,8,False,True,False,1.0,3.0,2.0,5.0,3.875,3.875,3.875,3.875,2204.5,4.875,True,146992,True,E1_added
117:145328,117,83,2,145328,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1343.5,2.125,True,150464,True,E1_added
117:73099,117,83,2,73099,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,1.75,1.75,1241.25,2.75,True,150952,True,E1_added
117:45257,117,83,2,45257,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1285.625,2.125,True,151032,True,E1_added
118:39068,118,83,3,39068,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,1.625,1.625,1070.0,2.25,True,151728,True,E1_added
123:55112,123,83,8,55112,nq,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,2.375,2.375,1493.25,3.375,True,158008,True,E1_added
123:60303,123,83,8,60303,nq,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,2.375,2.375,1749.875,3.375,True,158184,True,E1_added
126:87691,126,83,11,87691,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.0,2.0,1229.75,2.75,True,162280,True,E1_added
127:53274,127,83,12,53274,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1448.625,2.375,True,162568,True,E1_added
127:79902,127,83,12,79902,hotpotqa,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1382.625,2.0,False,163400,False,GAP_displaced
127:35900,127,83,12,35900,nq,8,1,False,False,True,0.125,0.0,5.0,5.0,5.875,5.0,7.875,7.0,4815.0,6.875,False,163720,False,GAP_displaced
127:1261,127,83,12,1261,nq,8,2,False,False,True,0.25,0.0,1.0,1.0,1.875,1.0,1.875,1.0,1317.125,2.875,False,163792,False,GAP_displaced
128:137656,128,84,0,137656,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1659.75,2.75,True,164024,True,E1_added
129:89801,129,84,1,89801,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,2.5,2.5,1606.0,2.5,True,165904,True,E1_added
136:134563,136,84,8,134563,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1074.5,2.5,True,174928,True,E1_added
138:16910,138,84,10,16910,nq,8,1,False,False,True,0.125,0.0,2.0,2.0,1.125,2.0,1.125,2.0,829.625,2.125,False,177360,False,GAP_displaced
138:159909,138,84,10,159909,hotpotqa,8,2,False,False,True,0.25,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1950.875,4.0,False,177784,False,GAP_displaced
139:128386,139,85,0,128386,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,3.625,3.625,1944.875,2.875,True,178776,True,E1_added
140:57077,140,85,1,57077,nq,8,8,False,True,False,1.0,2.0,2.0,4.0,2.75,2.75,2.75,2.75,1706.375,3.75,True,179296,True,E1_added
141:131387,141,85,2,131387,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.125,2.125,2.125,2.125,1423.75,3.125,True,181320,True,E1_added
141:90691,141,85,2,90691,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,2.25,2.25,1419.75,2.25,True,181728,True,E1_added
142:139400,142,85,3,139400,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1754.625,2.875,True,181952,True,E1_added
145:142502,145,85,6,142502,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1796.125,2.875,True,186192,True,E1_added
145:90013,145,85,6,90013,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.0,2.0,1252.625,2.875,True,186288,True,E1_added
145:53397,145,85,6,53397,nq,8,1,False,False,True,0.125,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1190.75,2.0,False,186592,False,GAP_displaced
145:51886,145,85,6,51886,nq,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1798.375,2.0,False,186800,False,GAP_displaced
