group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
0:128710,0,71,128710,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1378.75,False,False,False,False,False,False
0:42978,0,71,42978,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,668.0,False,False,False,False,False,False
0:167504,0,71,167504,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1179.0,False,False,False,False,False,False
0:155384,0,71,155384,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1302.0,False,False,False,False,False,False
0:130461,0,71,130461,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1241.75,False,False,False,False,False,False
0:137415,0,71,137415,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1383.0,False,False,False,False,False,False
0:102168,0,71,102168,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1204.0,False,False,False,False,False,False
0:65956,0,71,65956,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,682.0,False,False,False,False,False,False
0:122824,0,71,122824,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1395.0,False,False,False,False,False,False
0:133563,0,71,133563,hotpotqa,8,0,True,False,False,0.0,4.0,,,,0.0,4.0,5.0,2585.0,False,False,False,False,False,False
0:75366,0,71,75366,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,711.0,False,False,False,False,False,False
0:167142,0,71,167142,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1205.0,False,False,False,False,False,False
0:155562,0,71,155562,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1288.0,False,False,False,False,False,False
0:65160,0,71,65160,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1084.625,False,False,False,False,False,False
0:151268,0,71,151268,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1211.0,False,False,False,False,False,False
0:93431,0,71,93431,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1285.0,False,False,False,False,False,False
0:65017,0,71,65017,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1319.0,False,False,False,False,False,False
0:49003,0,71,49003,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,720.0,False,False,False,False,False,False
0:145460,0,71,145460,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1310.25,False,False,False,False,False,False
0:84701,0,71,84701,hotpotqa,8,3,False,False,True,0.375,1.875,2.0,2.0,2.0,0.0,2.875,2.875,1585.625,False,True,True,False,False,True
0:153308,0,71,153308,hotpotqa,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1271.875,False,True,True,False,False,True
0:84895,0,71,84895,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,2013.0,False,False,False,False,False,False
0:60705,0,71,60705,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1133.0,False,False,False,False,False,False
0:97072,0,71,97072,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1255.0,False,False,False,False,False,False
0:166307,0,71,166307,hotpotqa,8,7,False,False,True,0.875,3.875,4.0,4.0,4.0,0.0,4.875,4.875,2686.125,False,True,True,False,False,True
0:110103,0,71,110103,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1209.0,False,False,False,False,False,False
0:75559,0,71,75559,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1136.5,False,False,False,False,False,False
0:107509,0,71,107509,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,794.0,False,False,False,False,False,False
0:84393,0,71,84393,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1136.0,False,False,False,False,False,False
0:72488,0,71,72488,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1191.0,False,False,False,False,False,False
0:120718,0,71,120718,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1322.0,False,False,False,False,False,False
