group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
28:122799,28,73,122799,hotpotqa,8,2,False,False,True,0.25,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1280.5,False,True,True,False,False,True
29:30272,29,74,30272,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,1.0,2.0,791.0,False,True,True,False,False,True
29:63670,29,74,63670,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1236.875,False,True,True,False,False,True
29:147735,29,74,147735,hotpotqa,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1844.5,False,True,True,False,False,True
30:126182,30,74,126182,hotpotqa,8,3,False,False,True,0.375,3.625,3.0,3.0,3.0,0.0,3.625,4.625,2093.0,False,True,True,False,False,True
30:141900,30,74,141900,hotpotqa,8,7,False,False,True,0.875,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1212.375,False,True,True,False,False,True
30:97573,30,74,97573,hotpotqa,8,1,False,False,True,0.125,1.125,2.0,2.0,2.0,0.0,1.125,2.125,738.5,False,True,True,False,False,True
30:102537,30,74,102537,hotpotqa,8,1,False,False,True,0.125,1.125,2.0,2.0,2.0,0.0,2.125,2.125,1513.625,False,True,True,False,False,True
30:133939,30,74,133939,hotpotqa,8,7,False,False,True,0.875,4.875,5.0,5.0,5.0,0.0,4.875,5.875,2879.875,False,True,True,False,False,True
30:141475,30,74,141475,hotpotqa,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1317.375,False,True,True,False,False,True
30:167669,30,74,167669,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1359.0,False,True,True,False,False,True
31:52363,31,74,52363,nq,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,1.0,2.0,754.875,False,True,True,False,False,True
31:26807,31,74,26807,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1151.75,False,True,True,False,False,True
32:72316,32,74,72316,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,1.0,2.0,604.625,False,True,True,False,False,True
33:162700,33,74,162700,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1479.625,False,True,True,False,False,True
33:63524,33,74,63524,nq,8,1,False,False,True,0.125,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1839.5,False,True,True,False,False,True
34:68126,34,74,68126,nq,8,5,False,False,True,0.625,1.375,1.0,1.0,1.0,0.0,3.25,2.375,1982.875,False,True,True,False,False,True
34:161300,34,74,161300,hotpotqa,8,6,False,False,True,0.75,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1761.75,False,True,True,False,False,True
34:126257,34,74,126257,hotpotqa,8,4,False,False,True,0.5,3.0,3.0,3.0,3.0,0.0,4.0,4.0,2348.0,False,True,True,False,False,True
34:140893,34,74,140893,hotpotqa,8,6,False,False,True,0.75,2.25,2.0,2.0,2.0,0.0,3.25,3.25,2134.25,False,True,True,False,False,True
35:128110,35,74,128110,hotpotqa,8,1,False,False,True,0.125,2.75,1.0,1.0,1.0,0.0,2.75,3.75,1742.75,False,True,True,False,False,True
35:156053,35,74,156053,hotpotqa,8,1,False,False,True,0.125,1.625,1.0,1.0,1.0,0.0,3.5,2.625,2336.625,False,True,True,False,False,True
35:14414,35,74,14414,nq,8,5,False,False,True,0.625,1.375,1.0,1.0,1.0,0.0,1.375,2.375,942.375,False,True,True,False,False,True
35:47214,35,74,47214,nq,8,3,False,False,True,0.375,3.625,3.3333333333333335,3.0,4.0,1.0,3.625,4.625,2472.875,True,True,True,False,False,True
36:20176,36,74,20176,nq,8,4,False,False,True,0.5,2.0,1.0,1.0,1.0,0.0,2.0,3.0,1496.0,False,True,True,False,False,True
37:83650,37,74,83650,hotpotqa,8,1,False,False,True,0.125,4.25,6.0,6.0,6.0,0.0,4.25,5.25,2688.375,False,True,True,False,False,True
37:108325,37,74,108325,hotpotqa,8,6,False,False,True,0.75,2.0,2.0,2.0,2.0,0.0,2.75,3.0,1841.75,False,True,True,False,False,True
37:51205,37,74,51205,nq,8,2,False,False,True,0.25,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1276.25,False,True,True,False,False,True
37:7492,37,74,7492,nq,8,6,False,False,True,0.75,4.0,4.0,4.0,4.0,0.0,5.0,5.0,3002.625,False,True,True,False,False,True
37:82998,37,74,82998,hotpotqa,8,5,False,False,True,0.625,2.75,2.0,2.0,2.0,0.0,2.75,3.75,1703.375,False,True,True,False,False,True
37:2020,37,74,2020,nq,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1356.625,False,True,True,False,False,True
